Vertical,Horizontal,Absolute Dist.
63,6,63.28506933
62,13,63.34824386
59,10,59.8414572
69,5,69.18092223
62,4,62.12889827
67,5,67.18630813
0,0,0
70.5,5,70.67708257
71,4,71.11258679
0,0,0
