Vertical,Horizontal,Absolute Dist.
50,0,50
64,12,65.11528238
54,9.5,54.8292805
58,15,59.9082632
53,12,54.34151268
61,11,61.98386887
54,10,54.91812087
56,7.5,56.5
61,8,61.52235366
41,8,41.77319715
