Vertical,Horizontal,Absolute Dist.
63.5,22,67.20305053
60.5,21.5,64.20669747
63,29,69.35416354
59,26,64.47480128
58,30,65.29931087
57,25,62.24146528
62,27,67.62396025
69,21.5,72.27205546
56,24,60.92618485
63.5,14,65.02499519
