Vertical,Horizontal,Absolute Dist.
50,2,50.03998401
39,2.5,39.08004606
41,4,41.19465985
45,3.5,45.13590588
44,6,44.40720662
45,4,45.17742799
45,5,45.27692569
45,4,45.17742799
44.5,4,44.6794136
45.5,4.5,45.72198596
