Vertical,Horizontal,Absolute Dist.
41,17.5,44.5785823
49,37,61.40032573
47,34,58.00862005
40,45,60.20797289
43,40,58.72818744
43,34,54.81788029
43,28,51.31276644
46,29,54.3783045
40,42,58
41,39,56.5862174
